protocol,read_write_ratio,throughput,abort_rate
Tigon,0,6.3,0
DS2PL+,0,6,0.0163934
Sundial+,0,6,0.047619
Tigon,10,6.3,0
DS2PL+,10,2.9,0
Sundial+,10,0.9,0
Tigon,20,0,-
DS2PL+,20,6.6,0.0149254
Sundial+,20,7,0
Tigon,30,7.4,0
DS2PL+,30,7.2,0
Sundial+,30,7.4,0.933573
Tigon,40,7.3,0.0266667
DS2PL+,40,5,0
Sundial+,40,8.1,0
Tigon,50,6.6,0
DS2PL+,50,5.9,0.289157
Sundial+,50,7.4,0.0133333
Tigon,60,8.5,0.705882
DS2PL+,60,7.2,0
Sundial+,60,2.1,0.533333
Tigon,70,9.5,0
DS2PL+,70,10.2,0
Sundial+,70,7.8,0.0126582
Tigon,80,7.8,0
DS2PL+,80,10.5,0.539474
Sundial+,80,8.9,0
Tigon,90,7,0
DS2PL+,90,0,-
Sundial+,90,11.2,0
Tigon,100,7.8,0
DS2PL+,100,19.3,0
Sundial+,100,19.6,0
